,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
320,Love Come Down - Single Version,"The Best Of Evelyn ""Champagne"" King","Evelyn ""Champagne"" King",09-04-90,220626,56,0.88,0.0187,0.88,0.395,3.24E-05,0.0571,-14.629,0.102,117.161,4
321,Love Come Down,Get Loose (Expanded Edition),"Evelyn ""Champagne"" King",11-08-82,365760,33,0.907,0.00621,0.907,0.624,0.00109,0.032,-5.907,0.0455,115.741,4
322,"Shame - 12"" Disco Version","The Best Of Evelyn ""Champagne"" King","Evelyn ""Champagne"" King",09-04-90,391360,46,0.784,0.0135,0.784,0.506,0.269,0.0705,-15.608,0.0517,134.517,4
323,I'm In Love,Platinum & Gold Collection,"Evelyn ""Champagne"" King",05-05-03,302133,36,0.914,0.0614,0.914,0.403,0.102,0.426,-11.257,0.0968,114.92,4
324,The Show Is Over,Smooth Talk (Expanded Edition),"Evelyn ""Champagne"" King",22-10-77,342400,40,0.49,0.225,0.49,0.605,0.0136,0.0551,-8.285,0.0406,178.508,4
325,I Think My Heart Is Telling,Music Box (Expanded Edition),"Evelyn ""Champagne"" King",19-03-79,259546,38,0.738,0.406,0.738,0.494,0.00114,0.321,-11.928,0.0392,134.258,4
326,"Love Come Down - 12"" Version",Get Loose (Expanded Edition),"Evelyn ""Champagne"" King",11-08-82,373746,31,0.861,0.00367,0.861,0.69,1.78E-05,0.0321,-5.18,0.0391,115.542,4
327,Aquarius / Let the Sun Shine In,"The Essential Evelyn ""Champagne"" King","Evelyn ""Champagne"" King",23-03-15,552360,36,0.811,0.00455,0.811,0.631,0.11,0.0466,-9.468,0.0865,117.918,4
328,Betcha She Don't Love You,Get Loose (Expanded Edition),"Evelyn ""Champagne"" King",11-08-82,298973,17,0.977,0.00283,0.977,0.51,0.00067,0.0892,-6.091,0.0464,108.452,4
329,Get Loose,Get Loose (Expanded Edition),"Evelyn ""Champagne"" King",11-08-82,283000,34,0.945,0.0657,0.945,0.552,0.00011,0.123,-7.183,0.0727,114.476,4
330,Supernature,"Cerrone I, II, III",Cerrone,27-10-14,585374,53,0.619,0.00219,0.619,0.948,0.22,0.199,-6.641,0.0432,123.016,4
331,Give Me Love,"Cerrone I, II, III",Cerrone,27-10-14,462000,51,0.802,0.277,0.802,0.864,0.00605,0.0554,-6.768,0.0848,127.11,4
332,Supernature (Instrumental CLIMAX edit),Supernature (instrumental),Cerrone,07-09-18,210000,50,0.654,2.74E-05,0.654,0.955,0.911,0.0672,-6.851,0.0508,128.005,4
333,Hooked on You - The Reflex Revision,The Remixes,Cerrone,04-05-15,461000,44,0.764,0.0285,0.764,0.655,0.677,0.149,-8.416,0.0529,108.006,4
334,Experience (feat. Laylow),Experience (feat. Laylow),Cerrone,02-07-20,220336,41,0.661,0.0121,0.661,0.758,9.84E-05,0.191,-5.391,0.118,95.053,4
335,Got To Have Loving,Don Ray - Garden of Love,Cerrone,27-10-14,499000,33,0.618,0.0224,0.618,0.808,0.00392,0.279,-5.812,0.042,124.286,4
336,Time For Love,"Cerrone I, II, III",Cerrone,27-10-14,369500,19,0.636,0.693,0.636,0.585,6.63E-05,0.0713,-8.848,0.0271,130.155,4
337,Standing In The Rain,Don Ray - Garden of Love,Cerrone,27-10-14,397500,13,0.691,0.113,0.691,0.972,0.0572,0.0739,-6.235,0.051,124.011,4
338,Reach Out I Will Be There,Way-In,Cerrone,07-01-89,259133,1,0.642,0.00269,0.642,0.56,2.38E-05,0.137,-13.508,0.0349,119.972,4
339,Real World,Way-In,Cerrone,07-01-89,285640,0,0.372,0.0191,0.372,0.765,0.904,0.245,-15.403,0.042,120.031,4
340,Blame It on the Boogie,Destiny,The Jacksons,17-12-78,214200,70,0.774,0.0765,0.774,0.641,0,0.0867,-10.193,0.0799,113.256,4
341,This Place Hotel (a.k.a. Heartbreak Hotel),Triumph,The Jacksons,26-09-80,343786,47,0.737,0.367,0.737,0.783,0.000187,0.107,-7.466,0.078,97.016,4
342,"Shake Your Body (Down to the Ground) - 7"" Version",Destiny (Expanded Version),The Jacksons,12-02-21,227261,50,0.796,0.0528,0.796,0.72,0,0.337,-7.203,0.0763,117.401,4
343,Torture,Victory,The Jacksons,02-07-84,293986,40,0.749,0.0655,0.749,0.828,1.94E-06,0.596,-6.776,0.0442,131.128,4
344,Can You Feel It,Triumph,The Jacksons,26-09-80,359906,55,0.894,0.0833,0.894,0.607,0.000249,0.31,-8.274,0.0415,125.466,4
345,Enjoy Yourself,The Jacksons,The Jacksons,05-11-76,204413,38,0.601,0.171,0.601,0.643,0,0.536,-8.912,0.224,203.669,4
346,Shake Your Body (Down to the Ground),Destiny,The Jacksons,17-12-78,479440,49,0.82,0.0208,0.82,0.613,0.000101,0.372,-9.152,0.0606,117.602,4
347,Can You Feel It - Jacksons X MLK Remix,Can You Feel It (Jacksons X MLK Remix),The Jacksons,19-03-21,455576,49,0.839,0.0124,0.839,0.905,0.000265,0.224,-4.879,0.0636,123.517,4
348,Show You the Way to Go,The Jacksons,The Jacksons,05-11-76,327746,45,0.663,0.374,0.663,0.615,0.0266,0.642,-10.78,0.0323,109.442,4
349,All Night Dancin',Destiny (Expanded Version),The Jacksons,12-02-21,369737,13,0.665,0.0031,0.665,0.886,0.00835,0.213,-7.877,0.0366,156.396,4
350,"Signed, Sealed, Delivered (I'm Yours)","Signed, Sealed And Delivered",Stevie Wonder,07-08-70,161160,78,0.675,0.0534,0.675,0.597,0,0.0986,-11.329,0.0337,108.875,4
351,I Just Called To Say I Love You,At The Close Of A Century,Stevie Wonder,23-11-99,262240,75,0.748,0.243,0.748,0.551,1.57E-06,0.0943,-9.054,0.0239,113.535,4
352,Superstition,Talking Book,Stevie Wonder,28-10-72,266133,70,0.611,0.0598,0.611,0.578,0.0219,0.0983,-14.171,0.0676,100.625,4
353,For Once In My Life,For Once In My Life,Stevie Wonder,01-12-68,169800,72,0.524,0.195,0.524,0.519,0,0.523,-11.903,0.043,110.121,4
354,You Are The Sunshine Of My Life,Talking Book,Stevie Wonder,28-10-72,178200,71,0.519,0.823,0.519,0.46,5.97E-05,0.243,-14.53,0.0688,132.082,4
355,Sir Duke,Songs In The Key Of Life,Stevie Wonder,28-09-76,232760,71,0.588,0.16,0.588,0.568,0,0.0792,-9.766,0.0672,106.938,4
356,Isn't She Lovely,Songs In The Key Of Life,Stevie Wonder,28-09-76,394266,68,0.481,0.182,0.481,0.826,0.00352,0.324,-6.974,0.0851,118.679,4
357,Part-Time Lover,In Square Circle,Stevie Wonder,13-09-85,252560,68,0.662,0.165,0.662,0.624,0,0.0674,-13.606,0.0417,174.513,4
358,I Wish,Songs In The Key Of Life,Stevie Wonder,28-09-76,252373,65,0.821,0.0816,0.821,0.721,7.37E-06,0.0664,-10.401,0.0515,105.866,4
359,My Cherie Amour,My Cherie Amour,Stevie Wonder,01-08-69,173306,65,0.574,0.228,0.574,0.507,4.57E-06,0.279,-11.343,0.0258,101.085,4
360,Move on Up,Move on Up,Curtis Mayfield,1970,165789,70,0.538,0.417,0.538,0.969,0.00154,0.119,-5.626,0.0906,138.652,4
361,Move on Up - Extended Version,Curtis (Expanded Edition),Curtis Mayfield,1970,535333,64,0.584,0.141,0.584,0.975,0.501,0.101,-6.534,0.0651,138.341,4
362,Pusherman,Superfly (Soundtrack from the Motion Picture) [Deluxe 25th Anniversary Edition],Curtis Mayfield,1972,300693,59,0.85,0.238,0.85,0.669,0.0855,0.108,-9.562,0.0379,126.624,4
363,Superfly,Superfly (Soundtrack from the Motion Picture) [Deluxe 25th Anniversary Edition],Curtis Mayfield,1972,240160,58,0.779,0.552,0.779,0.776,0.000108,0.0998,-7.393,0.138,119.899,4
364,Here but I'm Gone,New World Order,Curtis Mayfield,07-01-97,318200,51,0.772,0.632,0.772,0.368,0.00714,0.121,-11.183,0.0496,143.834,4
365,Freddie's Dead (Theme from 'Superfly'),Superfly (Soundtrack from the Motion Picture) [Deluxe 25th Anniversary Edition],Curtis Mayfield,1972,329466,49,0.523,0.105,0.523,0.804,0.000451,0.154,-6.322,0.0791,91.471,4
366,The Makings of You,Curtis (Expanded Edition),Curtis Mayfield,1970,223866,49,0.367,0.758,0.367,0.431,8.89E-06,0.113,-11.191,0.0576,76.454,4
367,So in Love,There's No Place Like America Today,Curtis Mayfield,01-05-75,314226,41,0.683,0.138,0.683,0.525,0.00482,0.105,-9.656,0.0436,120.585,4
368,"(Don't Worry) If There Is a Hell Below, We're All Going to Go",Curtis (Expanded Edition),Curtis Mayfield,1970,470506,46,0.686,0.149,0.686,0.755,0.063,0.111,-8.304,0.0488,119.895,4
369,We Got to Have Peace,Roots,Curtis Mayfield,1971,285866,40,0.555,0.0496,0.555,0.875,6.91E-05,0.113,-7.587,0.0471,91.96,4
370,Runaway Love (Live),Live,Linda Clifford,01-01-78,464770,0,0.669,0.0104,0.669,0.699,0.000867,0.689,-8.769,0.167,108.344,4
371,If My Friends Could See Me Now (Live),Live,Linda Clifford,01-01-78,318020,1,0.598,0.00308,0.598,0.756,8.15E-06,0.388,-6.467,0.0878,134.784,4
372,Ain't No Love Lost,The Right Combination (Expanded Edition),Linda Clifford,01-09-80,268066,8,0.649,0.0539,0.649,0.728,0.00281,0.199,-8.98,0.0908,87.202,4
373,I'm so Proud,The Right Combination (Expanded Edition),Linda Clifford,01-09-80,220160,4,0.431,0.294,0.431,0.441,0.000151,0.126,-11.98,0.0667,185.183,3
374,Love's Sweet Sensation,The Right Combination (Expanded Edition),Linda Clifford,01-09-80,229800,5,0.649,0.202,0.649,0.445,0,0.111,-8.887,0.0435,108.724,3
375,Between You Baby and Me,The Right Combination (Expanded Edition),Linda Clifford,01-09-80,284973,5,0.353,0.258,0.353,0.425,0,0.102,-10.538,0.127,176.812,3
376,Hold Me Close - Bonus Track,The Right Combination (Expanded Edition),Linda Clifford,01-09-80,289973,4,0.804,0.0555,0.804,0.888,0.00047,0.0688,-8.662,0.0743,124.108,4
377,"You Are, You Are - Bonus Track",The Right Combination (Expanded Edition),Linda Clifford,01-09-80,317133,6,0.645,0.0172,0.645,0.774,1.65E-06,0.0956,-9.112,0.0594,125.603,4
378,"(It's Gonna Be) A Long, Long Winter - Bonus Track",The Right Combination (Expanded Edition),Linda Clifford,01-09-80,223733,3,0.416,0.345,0.416,0.561,0.000277,0.0997,-9.902,0.044,84.551,3
379,I Can't Let This Good Thing Get Away - Bonus Track,The Right Combination (Expanded Edition),Linda Clifford,01-09-80,255693,4,0.641,0.0699,0.641,0.689,2.16E-05,0.196,-9.177,0.138,97.364,4
380,Tell Me Something Good,Rags To Rufus,Rufus & Chaka Khan,01-01-74,277066,53,0.657,0.616,0.657,0.546,0,0.226,-9.738,0.269,73.131,4
381,Do You Love What You Feel,Masterjam,Rufus & Chaka Khan,01-01-79,269306,47,0.808,0.022,0.808,0.773,0.0436,0.654,-11.4,0.0365,119.944,4
382,Sweet Thing,The Very Best Of,Rufus & Chaka Khan,01-01-82,200840,44,0.685,0.905,0.685,0.283,0.425,0.135,-16.872,0.0565,80.263,4
383,You Got The Love,Rags To Rufus,Rufus & Chaka Khan,01-01-74,278440,41,0.565,0.637,0.565,0.695,0.000401,0.256,-10.21,0.0803,97.246,4
384,Heaven Bound,Masterjam,Rufus & Chaka Khan,01-01-79,227066,34,0.71,0.121,0.71,0.541,6.66E-06,0.0671,-14.663,0.0389,95.028,4
385,Stay,Street Player,Rufus & Chaka Khan,01-01-78,339880,33,0.68,0.446,0.68,0.504,0.00273,0.0778,-11.15,0.0359,95.241,4
386,Any Love,Masterjam,Rufus & Chaka Khan,01-01-79,292306,33,0.766,0.000619,0.766,0.556,3.37E-05,0.0945,-14.447,0.0487,123.834,4
387,Walkin' In The Sun,Rags To Rufus,Rufus & Chaka Khan,01-01-74,178626,32,0.469,0.704,0.469,0.374,2.49E-05,0.128,-10.565,0.0633,161.75,4
388,Live In Me,Masterjam,Rufus & Chaka Khan,01-01-79,234773,28,0.714,0.112,0.714,0.467,2.99E-05,0.116,-15.068,0.0326,107.047,4
389,Earth Song,Ask Rufus,Rufus & Chaka Khan,01-01-77,323800,22,0.494,0.812,0.494,0.423,0.182,0.0741,-16.834,0.0491,116.066,4
390,On The Road Again,Piel de Barrabas,Barrabas,26-04-08,349373,38,0.798,0.018,0.798,0.524,0.0371,0.096,-13.522,0.0538,119.137,4
391,Woman,Barrabas. Sus Primeras Grabaciones (1972-1975) [Remastered],Barrabas,2005,304040,31,0.703,0.0125,0.703,0.595,0.0128,0.0537,-13.707,0.1,124.14,4
392,Wild Safari,Barrabas. Sus Primeras Grabaciones (1972-1975) [Remastered],Barrabas,2005,299826,28,0.668,0.14,0.668,0.562,0.0781,0.158,-14.834,0.0668,109.947,4
393,On the Road Again,¡vive!,Barrabas,01-02-13,287825,22,0.76,0.0607,0.76,0.952,0.0175,0.0814,-4.593,0.0481,120.061,4
394,Rock and Roll Everybody,Barrabas. Sus Primeras Grabaciones (1972-1975) [Remastered],Barrabas,2005,217466,18,0.495,0.0605,0.495,0.472,0.000225,0.341,-11.36,0.0525,171.797,4
395,Dolores,Bestial,Barrabas,1982,303760,14,0.828,0.196,0.828,0.55,0.0348,0.224,-12.928,0.0299,104.837,4
396,Boogie Rock,Barrabas. Sus Primeras Grabaciones (1972-1975) [Remastered],Barrabas,2005,184360,6,0.653,0.638,0.653,0.647,0.877,0.13,-14.589,0.11,135.77,4
397,Lady Love,Soltad a Barrabas,Barrabas,1974,246400,13,0.711,0.0796,0.711,0.516,0.00166,0.0784,-14.942,0.0398,118.918,4
398,Hi-Jack,Barrabas. Sus Primeras Grabaciones (1972-1975) [Remastered],Barrabas,2005,343160,13,0.717,0.0425,0.717,0.585,0.189,0.314,-14.466,0.06,118.6,4
399,You Know,Power,Barrabas,1973,198720,2,0.572,0.0162,0.572,0.795,0.00239,0.0577,-12.817,0.0527,153.868,4
400,The Hustle - Super Hustle Mix,The Hustle and the Best of Van McCoy,Van McCoy,01-01-76,252333,36,0.677,0.0188,0.677,0.667,0.801,0.168,-8.819,0.0264,117.11,4
401,The Shuffle,Rhythms Of The World,Van McCoy,09-09-76,258159,22,0.569,0.177,0.569,0.485,0.4,0.0986,-17.404,0.0464,123.247,4
402,Soul Cha Cha,Rhythms Of The World,Van McCoy,09-09-76,206820,20,0.703,0.283,0.703,0.559,0.00257,0.055,-18.57,0.0964,122.368,4
403,Love At First Sight,The Real McCoy,Van McCoy,02-04-76,269906,19,0.587,0.283,0.587,0.692,0.869,0.112,-15.688,0.0374,112.905,4
404,Disco Baby,Disco Baby,Van McCoy,01-01-75,224446,15,0.768,0.215,0.768,0.743,0.0036,0.0746,-17.326,0.0592,117.58,4
405,Get Dancin,Disco Baby,Van McCoy,01-01-75,218495,14,0.646,0.0849,0.646,0.61,0.122,0.101,-17.073,0.0588,102.579,4
406,Love Is The Answer,The Hustle and the Best of Van McCoy,Van McCoy,01-01-76,200388,14,0.589,0.508,0.589,0.408,0.94,0.618,-16.433,0.0374,116.172,4
407,Keep On Hustlin',Disco Kid,Van McCoy,11-09-75,240426,14,0.569,0.244,0.569,0.554,0.382,0.0506,-19.108,0.0428,106.029,4
408,I'm in Love With You Baby (Remastered 1995),Soul Improvisations,Van McCoy,01-07-72,200133,13,0.413,0.503,0.413,0.488,0.00144,0.152,-14.404,0.0444,187.691,4
409,The Hustle - Original Mix,Disco Baby,Van McCoy,01-01-75,253683,48,0.637,0.0401,0.637,0.624,0.51,0.0627,-17.81,0.0622,110.278,4
410,Easy,Commodores,Commodores,01-01-77,256426,76,0.589,0.112,0.589,0.384,2.80E-05,0.0596,-15.075,0.0332,132.909,4
411,Brick House,Commodores,Commodores,01-01-77,208893,66,0.831,0.0731,0.831,0.782,0.0171,0.032,-10.48,0.0595,107.877,4
412,Nightshift,Nightshift,Commodores,01-01-85,306560,63,0.727,0.62,0.727,0.559,0.0114,0.0629,-10.194,0.0392,105.06,4
413,Three Times A Lady,Natural High,Commodores,01-01-78,398506,60,0.487,0.834,0.487,0.094,0.000224,0.172,-19.555,0.0274,74.857,3
414,Three Times A Lady,Three Times A Lady Hit Pac,Commodores,01-01-08,215440,51,0.365,0.94,0.365,0.126,0.00447,0.141,-17.286,0.0304,150.643,3
415,Machine Gun,Machine Gun,Commodores,01-01-74,159466,54,0.741,0.00882,0.741,0.97,0.836,0.295,-6.364,0.0341,113.103,4
416,Lady (You Bring Me Up),In The Pocket,Commodores,01-01-81,293226,54,0.892,0.2,0.892,0.593,0.000339,0.0996,-9.429,0.0405,120.979,4
417,Still,All The Great Love Songs,Commodores,01-01-85,224986,52,0.352,0.894,0.352,0.0613,9.44E-05,0.0984,-19.701,0.0366,124.378,4
418,Zoom,Commodores,Commodores,01-01-77,404133,52,0.475,0.32,0.475,0.314,0,0.0367,-13.08,0.058,174.042,4
419,Sail On,All The Great Love Songs,Commodores,1985,240240,51,0.481,0.413,0.481,0.317,1.10E-05,0.0786,-17.356,0.0455,142.417,4
420,I Say a Little Prayer,Aretha Now,Aretha Franklin,14-06-68,216773,75,0.592,0.478,0.592,0.355,0,0.0585,-14.051,0.0352,133.032,4
421,Respect,I Never Loved a Man the Way I Love You,Aretha Franklin,10-03-67,147600,73,0.805,0.164,0.805,0.558,2.20E-05,0.0546,-5.226,0.041,114.95,4
422,(You Make Me Feel Like) A Natural Woman,Lady Soul (With Bonus Selections),Aretha Franklin,22-01-68,165333,69,0.603,0.679,0.603,0.271,0,0.141,-10.083,0.0284,110.89,3
423,Think,Aretha Now,Aretha Franklin,14-06-68,139733,68,0.687,0.251,0.687,0.63,0,0.221,-10.817,0.0389,110.051,4
424,You Send Me,Aretha Now,Aretha Franklin,14-06-68,149626,62,0.512,0.57,0.512,0.303,0,0.0803,-13.547,0.0374,102.908,4
425,Chain of Fools,Lady Soul (With Bonus Selections),Aretha Franklin,22-01-68,167066,62,0.721,0.221,0.721,0.567,0,0.465,-9.516,0.0389,116.643,4
426,Son of a Preacher Man,This Girl's in Love with You,Aretha Franklin,15-01-70,199266,61,0.474,0.545,0.474,0.473,1.25E-06,0.0356,-11.454,0.0601,77.583,4
427,Day Dreaming,"Young, Gifted and Black",Aretha Franklin,24-01-72,239960,60,0.463,0.907,0.463,0.273,0.000367,0.101,-15.364,0.074,146.426,4
428,Groovin',Lady Soul (With Bonus Selections),Aretha Franklin,22-01-68,177706,38,0.642,0.567,0.642,0.405,2.54E-05,0.101,-11.094,0.0255,91.332,4
429,People Get Ready,Lady Soul (With Bonus Selections),Aretha Franklin,22-01-68,224360,34,0.594,0.783,0.594,0.328,0,0.0515,-9.502,0.0348,126.702,4
430,Take Your Time (Do It Right),S.O.S.,The S.O.S Band,1980,460800,50,0.863,0.0129,0.863,0.538,0.0188,0.0877,-13.924,0.0545,118.931,4
431,Tell Me If You Still Care,On The Rise,The S.O.S Band,01-01-83,416733,39,0.578,0.071,0.578,0.675,0.00638,0.0988,-14.388,0.0391,81.135,4
432,Just Be Good To Me,On The Rise,The S.O.S Band,01-01-83,549000,46,0.608,0.021,0.608,0.909,0.125,0.0795,-11.065,0.0315,100.872,4
433,The Finest,Sands Of Time,The S.O.S Band,09-04-86,366266,42,0.869,0.326,0.869,0.599,0.0373,0.0598,-11.993,0.0699,109.665,4
434,No One's Gonna Love You,Best Of,The S.O.S Band,01-01-11,406453,35,0.739,0.0281,0.739,0.504,0.0353,0.0718,-10.106,0.0346,100.624,4
435,"Just Be Good To Me - 12"" Vocal Remix",Best Of,The S.O.S Band,01-01-11,459546,32,0.753,0.0222,0.753,0.839,0.0042,0.299,-7.48,0.0437,101.507,4
436,Just The Way You Like It,Just The Way You Like It,The S.O.S Band,01-01-84,521666,31,0.735,0.0436,0.735,0.657,0.000202,0.359,-11.379,0.0337,102.3,4
437,High Hopes,S.O.S. III,The S.O.S Band,29-10-82,390093,31,0.826,0.0338,0.826,0.697,0.0295,0.0456,-10.457,0.0573,106.151,4
438,Weekend Girl,Just The Way You Like It,The S.O.S Band,01-01-84,384960,31,0.595,0.189,0.595,0.448,0,0.566,-12.602,0.036,78.657,4
439,Groovin' (That's What We're Doin'),S.O.S. III,The S.O.S Band,29-10-82,265800,23,0.872,0.0806,0.872,0.258,0.568,0.0495,-14.885,0.0487,106.14,4
440,La vie en rose,Portfolio,Grace Jones,01-01-77,448000,60,0.65,0.225,0.65,0.477,0.016,0.0642,-16.007,0.0624,176.708,4
441,Pull Up To The Bumper,Private Life: The Compass Point Sessions,Grace Jones,01-01-98,273293,56,0.851,0.179,0.851,0.923,0.00707,0.102,-5.159,0.105,108.697,4
442,Slave To The Rhythm - Hot Blooded Version,Private Life: The Compass Point Sessions,Grace Jones,01-01-98,498840,51,0.595,0.0603,0.595,0.836,0.0477,0.326,-6.917,0.0358,97.095,4
443,I've Seen That Face Before (Libertango),Private Life: The Compass Point Sessions,Grace Jones,01-01-98,269573,50,0.809,0.000603,0.809,0.669,0.193,0.0634,-7.748,0.0403,132.994,4
444,Pull Up To The Bumper - Edit,The Grace Jones Story,Grace Jones,01-01-06,219613,47,0.828,0.165,0.828,0.886,0.00766,0.0532,-8.29,0.094,108.516,4
445,My Jamaican Guy,Classic Grace Jones,Grace Jones,01-01-03,360800,42,0.755,0.0715,0.755,0.923,0.0383,0.0545,-10.376,0.066,95.431,4
446,Victor Should Have Been A Jazz Musician,Inside Story,Grace Jones,1986,283546,43,0.751,0.155,0.751,0.412,0.0309,0.0468,-12.77,0.0273,106.991,4
447,Williams Blood,Hurricane,Grace Jones,10-11-08,359613,41,0.7,0.00569,0.7,0.69,0.00445,0.606,-7.591,0.0364,103.994,4
448,A Rolling Stone,Warm Leatherette,Grace Jones,09-05-80,212462,18,0.889,0.0113,0.889,0.664,0.00479,0.113,-11.79,0.082,120.15,4
449,I Need A Man,Portfolio,Grace Jones,01-01-77,203840,34,0.567,0.131,0.567,0.572,0,0.178,-15.538,0.0502,131.634,4
450,Square Biz,Greatest Hits,Teena Marie,01-01-86,385533,44,0.768,0.167,0.768,0.861,0.000143,0.42,-10.967,0.0883,113.599,4
451,I Need Your Lovin',Irons In The Fire (Expanded 15 Track Version),Teena Marie,06-07-80,452186,47,0.668,0.0059,0.668,0.898,0.00516,0.0712,-6.14,0.0459,109.808,4
452,Deja Vu (I've Been Here Before),Wild And Peaceful,Teena Marie,31-03-79,456800,46,0.377,0.649,0.377,0.459,0,0.387,-12.214,0.0632,151.779,4
453,Portuguese Love,It Must Be Magic,Teena Marie,14-05-81,469173,45,0.466,0.142,0.466,0.573,0,0.0871,-12.304,0.0793,140.643,4
454,Still In Love,La Dona,Teena Marie,11-05-04,256640,42,0.713,0.607,0.713,0.663,0,0.255,-3.749,0.0386,79.004,4
455,"Lead Me On - From ""Top Gun"" Original Soundtrack",Emerald City (Expanded Edition),Teena Marie,22-07-86,228280,41,0.672,0.416,0.672,0.874,0,0.063,-4.502,0.0388,133.249,4
456,Ooo La La La,Naked To The World,Teena Marie,21-03-88,317133,41,0.534,0.329,0.534,0.58,0,0.128,-10.488,0.0368,173.417,4
457,Behind The Groove,Lady T (Expanded Edition 15 Track Version),Teena Marie,14-02-80,365866,37,0.717,0.0818,0.717,0.867,4.55E-05,0.0744,-7.981,0.139,115.443,4
458,Lovergirl,Starchild (Expanded Edition),Teena Marie,11-11-85,290893,37,0.76,0.119,0.76,0.853,0.00212,0.0996,-4.594,0.0658,123.301,4
459,Work It,Naked To The World,Teena Marie,21-03-88,348626,17,0.577,0.14,0.577,0.777,0,0.31,-10.299,0.0902,170.113,4
460,Fly Robin Fly - Alternate Mix,Save Me,Silver Convention,1975,228920,44,0.828,0.00709,0.828,0.417,0.762,0.0703,-14.136,0.0328,100.28,4
461,Get Up and Boogie (That's Right) - Radio Mix,Silver Convention,Silver Convention,1976,170066,38,0.801,0.119,0.801,0.545,0.00194,0.079,-14.876,0.0306,104.989,4
462,San Francisco Hustle,Silver Convention,Silver Convention,1976,288653,38,0.887,0.0206,0.887,0.4,0.172,0.213,-16.178,0.0412,104.952,4
463,Fly Robin Fly,Chains of Love,Silver Convention,20-12-17,332893,34,0.855,0.0182,0.855,0.477,0.104,0.104,-11.841,0.0349,100.004,4
464,Get Up and Boogie (That's Right),Silver Convention,Silver Convention,1976,250253,31,0.628,0.313,0.628,0.504,0.00976,0.23,-16.117,0.051,207.956,4
465,Get up and Boogie,Disco Divas,Silver Convention,31-12-14,456037,28,0.865,0.776,0.865,0.605,0.344,0.206,-11.227,0.0377,108.432,4
466,Fly Robin Fly,Save Me,Silver Convention,1975,341066,23,0.871,0.0164,0.871,0.361,0.564,0.116,-17.378,0.032,99.885,4
467,Save Me,Save Me,Silver Convention,1975,206600,18,0.749,0.68,0.749,0.348,0.927,0.165,-21.068,0.0681,122.548,4
468,I Like It,Save Me,Silver Convention,1975,317333,15,0.682,0.0759,0.682,0.385,0.0785,0.123,-15.869,0.0338,105.344,4
469,You've Got What It Takes (To Please Your Woman),Silver Convention,Silver Convention,1976,236733,18,0.771,0.0347,0.771,0.356,0.0559,0.0908,-14.543,0.0391,102.532,4
470,Rock the Boat,Freedom for the Stallion (Expanded Edition),Hues Corporation,1973,202573,62,0.597,0.257,0.597,0.581,0,0.105,-9.72,0.0449,107.202,4
471,I Got Caught Dancing Again,Rockin' Soul,Hues Corporation,04-09-15,198440,32,0.445,0.243,0.445,0.465,0,0.244,-9.22,0.0289,78.849,4
472,How I Wish We Could Do It Again,Rockin' Soul,Hues Corporation,04-09-15,178226,26,0.379,0.0138,0.379,0.463,1.44E-06,0.395,-9.822,0.0409,73.382,4
473,Off My Cloud,Freedom for the Stallion (Expanded Edition),Hues Corporation,1973,256959,21,0.279,0.67,0.279,0.299,2.85E-05,0.126,-11.333,0.0326,145.728,4
474,Freedom for the Stallion,Freedom for the Stallion (Expanded Edition),Hues Corporation,1973,240040,18,0.516,0.417,0.516,0.378,5.20E-05,0.0949,-10.311,0.0283,109.206,4
475,Rockin' Soul,Rockin' Soul,Hues Corporation,04-09-15,175240,17,0.52,0.0458,0.52,0.639,0,0.184,-7.299,0.0903,214.649,4
476,Bound On a Reason,Freedom for the Stallion (Expanded Edition),Hues Corporation,1973,195800,12,0.532,0.13,0.532,0.554,0,0.101,-9.307,0.0308,112.219,4
477,The Family,Freedom for the Stallion (Expanded Edition),Hues Corporation,1973,189826,11,0.445,0.486,0.445,0.463,0,0.0922,-8.6,0.0437,150.148,4
478,Freedom for the Stallion - Single Version,Freedom for the Stallion (Expanded Edition),Hues Corporation,1973,224666,9,0.522,0.565,0.522,0.338,0.00347,0.211,-11.241,0.0286,109.805,4
479,Salvation Lady (1-3-5),Freedom for the Stallion (Expanded Edition),Hues Corporation,1973,199000,8,0.572,0.244,0.572,0.565,0,0.113,-9.467,0.0407,140.535,4
480,Love Rollercoaster,Honey,Ohio Players,16-08-75,290160,60,0.613,0.181,0.613,0.82,1.45E-06,0.049,-10.175,0.0737,115.125,4
481,Fire,Fire,Ohio Players,01-06-74,276333,50,0.639,0.324,0.639,0.75,0.0335,0.282,-11.794,0.0557,107.174,4
482,Ecstasy,Ecstasy,Ohio Players,01-09-73,149160,45,0.662,0.201,0.662,0.627,0.00156,0.0966,-9.246,0.0603,100.771,4
483,Funky Worm,Pleasure,Ohio Players,01-12-72,160986,45,0.681,0.0939,0.681,0.651,0.00037,0.0535,-9.786,0.0751,86.604,4
484,Heaven Must Be Like This,Skin Tight,Ohio Players,01-04-74,438133,43,0.462,0.0405,0.462,0.429,0.00486,0.256,-12.616,0.0323,140.268,4
485,Sweet Sticky Thing,Honey,Ohio Players,16-08-75,372733,42,0.532,0.201,0.532,0.582,0.0139,0.087,-12.297,0.0631,90.82,4
