,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
53,Rubber Band,The Legendary Zing Album,The Trammps,01-06-75,315853,43,0.728,0.333,0.728,0.669,0.000924,0.131,-12.314,0.0309,97.962,4
54,Zing! Went the Strings of My Heart,The Trammps,The Trammps,01-01-09,202693,32,0.667,0.0338,0.667,0.851,1.01E-06,0.318,-5.257,0.0629,120.132,4
55,The Night the Lights Went Out,The Trammps III,The Trammps,1977,427160,31,0.645,0.172,0.645,0.703,0.00043,0.0608,-10.865,0.0588,121.186,4
56,Stop and Think,Disco Champs,The Trammps,1977,303280,28,0.77,0.0512,0.77,0.848,0.112,0.178,-7.777,0.0406,118.347,4
57,Love Epidemic,Trammps,The Trammps,1975,287960,27,0.775,0.284,0.775,0.853,1.46E-05,0.405,-7.141,0.0431,120.769,4
58,Disco Inferno,Playlist: The Best Of The Trammps,The Trammps,17-06-16,213840,59,0.676,0.000362,0.676,0.704,0.0709,0.139,-8.534,0.0329,129.594,4
59,Hold Back the Night,The Legendary Zing Album,The Trammps,01-06-75,234466,14,0.767,0.594,0.767,0.675,6.46E-06,0.0641,-10.875,0.114,127.28,4
60,Le Freak - 2018 Remaster,C'est Chic (2018 Remaster),CHIC,11-08-78,331360,67,0.91,0.0258,0.91,0.641,6.42E-05,0.0642,-11.316,0.0589,118.533,4
61,Good Times,Risqué,CHIC,30-07-79,495400,65,0.87,0.149,0.87,0.657,0.0102,0.053,-7.32,0.0522,110.596,4
62,I Want Your Love - 2018 Remaster,C'est Chic (2018 Remaster),CHIC,11-08-78,413586,58,0.699,0.0185,0.699,0.604,0.073,0.0868,-13.404,0.0359,114.226,4
63,Le Freak - Edit,Les Plus Grands Success De Chic - Chic's Greatest Hits,CHIC,1979,215693,55,0.832,0.0422,0.832,0.553,0.00356,0.249,-13.705,0.0487,119.825,4
64,Everybody Dance - 2018 Remaster,Chic (2018 Remaster),CHIC,01-01-77,402693,55,0.722,0.05,0.722,0.66,0.000901,0.0907,-13.438,0.0538,129.727,4
65,Soup for One,"Dance, Dance, Dance: The Best of Chic",CHIC,1991,335066,54,0.823,0.212,0.823,0.51,0.806,0.11,-11.235,0.0352,114.83,4
66,"Everybody Dance - 12"" Mix",Les Plus Grands Success De Chic - Chic's Greatest Hits,CHIC,1979,510453,39,0.76,0.0823,0.76,0.595,0.107,0.0671,-14.579,0.0913,128.584,4
67,Le Freak - Oliver Heldens Remix,Le Freak (Oliver Heldens Remix),CHIC,14-11-18,232522,49,0.859,0.00942,0.859,0.757,0.0377,0.105,-6.005,0.0736,124.986,4
68,A Warm Summer Night,Risqué,CHIC,30-07-79,364853,49,0.591,0.396,0.591,0.568,0.012,0.175,-12.68,0.0468,135.979,4
69,Everybody Dance,Good Times: The Very Best Of Chic & Sister Sledge,CHIC,2005,247666,49,0.833,0.00665,0.833,0.686,0.000771,0.0959,-8.735,0.119,128.016,4
70,YMCA - Original Version 1978,YMCA,Village People,01-01-78,286800,70,0.723,0.0643,0.723,0.969,0,0.115,-4.516,0.142,126.653,4
71,YMCA,Can't Stop the Music (Original Soundtrack 1980),Village People,1980,202573,63,0.742,0.19,0.742,0.696,0,0.151,-7.871,0.0735,126.432,3
72,Macho Man,San Francisco Macho Man,Village People,1978,321000,57,0.708,0.0472,0.708,0.805,0,0.0867,-9.103,0.0612,133.419,4
73,In the Navy - Original Version 1979,Go West In the Navy,Village People,1979,339946,57,0.725,0.0725,0.725,0.959,0,0.14,-6.994,0.0472,127.323,4
74,Go West - Original Version 1979,Go West In the Navy,Village People,1979,250880,50,0.701,0.0228,0.701,0.868,1.11E-05,0.189,-7.306,0.0371,128.237,4
75,Can't Stop the Music,Can't Stop the Music (Original Soundtrack 1980),Village People,1980,218000,47,0.777,0.118,0.777,0.629,0,0.74,-10.33,0.111,133.4,4
76,5' O'clock In the Morning,Renaissance,Village People,1981,303413,35,0.591,0.0277,0.591,0.765,1.38E-05,0.156,-5.399,0.0416,85.874,4
77,San Francisco (You've Got Me),San Francisco Macho Man,Village People,1978,317866,33,0.644,0.0284,0.644,0.841,0,0.0853,-7.798,0.0347,127.058,4
